FileName,Label,CenterX,CenterY
20051020_53062_0100_PP.png,R,1070.9898826979472,712.9456011730206
20060522_45935_0100_PP.png,R,1038.933451641526,653.9724933451641
20051109_59864_0400_PP.png,L,221.10714285714286,422.77195550351286
20060530_54223_0100_PP.png,R,1031.6908465450194,700.3063116960814
IM001253.png,L,323.0246832473017,679.10736743313
IM002998.png,L,332.1967032967033,648.6378335949764
20060523_48005_0100_PP.png,L,368.95858791581804,619.3052726861281
20051116_55649_0400_PP.png,R,1140.9695909580194,723.7107104413348
20060412_52245_0200_PP.png,L,,
20051214_51569_0100_PP.png,R,1033.8652866765237,683.3569903072121
20060411_62142_0200_PP.png,R,711.788529067499,447.9816621147093
IM002053.png,R,1066.4746930863666,728.9114796467801
20060410_40403_0200_PP.png,L,135.92233009708738,464.1394527802295
20060523_50730_0100_PP.png,L,364.7773336468375,711.4829532094992
20051130_59404_0400_PP.png,L,356.7040087264794,716.7046632124352
20060412_60454_0200_PP.png,R,686.2695906432749,438.53801169590645
20060412_52931_0200_PP.png,L,140.55705996131528,352.9010776457585
20060407_44400_0200_PP.png,R,708.7409777322754,423.9639109291016
IM001210.png,R,1085.5485188968335,733.5314096016343
20060412_52098_0200_PP.png,R,678.6905537459284,480.2483713355049
IM002209.png,L,429.3526663001649,729.916162726773
IM001797.png,L,353.67716141929037,729.015992003998
20060412_57650_0200_PP.png,L,,
20051216_46847_0200_PP.png,L,210.338496198254,438.48437059983104
20051205_59337_0400_PP.png,L,346.36241610738256,637.7716306910938
IM000806.png,L,387.7240229425103,675.8328664799253
20051205_60093_0400_PP.png,R,1246.8164024810476,852.9756030323914
20060412_63009_0200_PP.png,R,683.2332373508845,396.6178527354998
20051216_46624_0200_PP.png,R,659.4919371300265,434.4839763216983
20051130_55323_0400_PP.png,R,757.9241264559068,463.675540765391
20060523_50707_0100_PP.png,R,1082.9209817419935,723.1005686920084
20060412_58563_0200_PP.png,L,225.27099841521394,416.54807184363443
IM002614.png,L,365.230653218965,753.8126119332642
IM004262.png,R,997.2365614564258,658.9952601529678
IM000726.png,R,1103.8944401244169,725.0312986003111
20060411_59657_0200_PP.png,L,252.75157364666387,432.2694083088544
20060523_48787_0100_PP.png,R,1079.5509825732295,684.8427882832777
20051201_38081_0400_PP.png,L,376.80232558139534,683.7921849648459
IM003412.png,L,223.90860744534174,802.3535552491629
20051212_36548_0400_PP.png,L,358.16519499632085,653.9893303899927
IM004251.png,L,368.3637274549098,638.3669338677355
20060523_48425_0100_PP.png,L,288.99136023601307,647.5082709935729
20060412_58965_0200_PP.png,L,,
IM000378.png,R,1117.484584450402,706.9120643431636
IM001636.png,L,382.1144662921348,684.0410814606741
IM004028.png,L,308.6148097826087,702.7527173913044
20060411_59728_0200_PP.png,R,707.1789652247668,483.3210347752333
IM002071.png,L,326.28057163531116,696.3623371924747
20060412_59124_0200_PP.png,L,203.6543277082199,413.9172563962983
IM002894.png,R,1082.751523178808,694.9011920529802
20060412_61383_0200_PP.png,L,196.99298813376484,442.975188781014
20060412_57846_0200_PP.png,R,707.3904034896401,448.7001090512541
IM001559.png,R,1083.8381422619966,740.8233297330659
20060523_45467_0100_PP.png,L,409.1250712250712,630.6253561253561
20051021_40180_0100_PP.png,R,1237.1693964881215,650.340268555408
20060523_48136_0100_PP.png,R,1057.783160865475,617.1531044214487
20051201_38137_0400_PP.png,R,1177.74531535649,678.6879570383912
20051117_37130_0400_PP.png,R,645.1015651015651,461.46420246420246
20060407_45834_0200_PP.png,R,708.9284386617101,456.3138166047088
IM000219.png,L,376.40809232480535,719.2791991101224
20051020_62461_0100_PP.png,R,1050.7701683110854,691.1456761462565
20060530_53540_0100_PP.png,L,398.9124651634153,637.8781352926273
20051205_35305_0400_PP.png,L,,
20051214_41289_0100_PP.png,R,1006.115932642487,693.1622409326425
20051020_56791_0100_PP.png,R,1066.732288828338,631.3063692098093
20060530_54556_0100_PP.png,L,355.70764519304385,640.4208684239309
20051214_56392_0100_PP.png,L,129.17922966559982,786.8153625427657
