FileName,Label
20051020_53062_0100_PP.png,R
20060522_45935_0100_PP.png,R
20051109_59864_0400_PP.png,L
20060530_54223_0100_PP.png,R
IM001253.png,L
IM002998.png,L
20060523_48005_0100_PP.png,L
20051116_55649_0400_PP.png,R
20060412_52245_0200_PP.png,L
20051214_51569_0100_PP.png,R
20060411_62142_0200_PP.png,R
IM002053.png,R
20060410_40403_0200_PP.png,L
20060523_50730_0100_PP.png,L
20051130_59404_0400_PP.png,L
20060412_60454_0200_PP.png,R
20060412_52931_0200_PP.png,L
20060407_44400_0200_PP.png,R
IM001210.png,R
20060412_52098_0200_PP.png,R
IM002209.png,L
IM001797.png,L
20060412_57650_0200_PP.png,L
20051216_46847_0200_PP.png,L
20051205_59337_0400_PP.png,L
IM000806.png,L
20051205_60093_0400_PP.png,R
20060412_63009_0200_PP.png,R
20051216_46624_0200_PP.png,R
20051130_55323_0400_PP.png,R
20060523_50707_0100_PP.png,R
20060412_58563_0200_PP.png,L
IM002614.png,L
IM004262.png,R
IM000726.png,R
20060411_59657_0200_PP.png,L
20060523_48787_0100_PP.png,R
20051201_38081_0400_PP.png,L
IM003412.png,L
20051212_36548_0400_PP.png,L
IM004251.png,L
20060523_48425_0100_PP.png,L
20060412_58965_0200_PP.png,L
IM000378.png,R
IM001636.png,L
IM004028.png,L
20060411_59728_0200_PP.png,R
IM002071.png,L
20060412_59124_0200_PP.png,L
IM002894.png,R
20060412_61383_0200_PP.png,L
20060412_57846_0200_PP.png,R
IM001559.png,R
20060523_45467_0100_PP.png,L
20051021_40180_0100_PP.png,R
20060523_48136_0100_PP.png,R
20051201_38137_0400_PP.png,R
20051117_37130_0400_PP.png,R
20060407_45834_0200_PP.png,R
IM000219.png,L
20051020_62461_0100_PP.png,R
20060530_53540_0100_PP.png,L
20051214_41289_0100_PP.png,R
20051020_56791_0100_PP.png,R
20060530_54556_0100_PP.png,L
20051214_56392_0100_PP.png,L
20051021_58035_0100_PP.png,L
IM004685.png,L
20051130_60562_0400_PP.png,L
20051020_62510_0100_PP.png,L
20060407_45247_0200_PP.png,L
20060412_58819_0200_PP.png,L
IM003773.png,R
20060412_51746_0200_PP.png,L
IM001514.png,L
IM001880.png,R
20060411_62390_0200_PP.png,L
20060523_45235_0100_PP.png,L
IM003222.png,L
20060410_46874_0200_PP.png,R
20060530_54011_0100_PP.png,R
IM001033.png,R
20051110_38156_0400_PP.png,R
20060412_52840_0200_PP.png,R
20060412_52174_0200_PP.png,L
IM000568.png,L
IM003725.png,R
IM000530.png,R
20051130_60490_0400_PP.png,L
20051130_55107_0400_PP.png,R
20051021_59459_0100_PP.png,R
20060522_45777_0100_PP.png,R
20060411_58624_0200_PP.png,R
20051021_39314_0100_PP.png,L
IM000674.png,R
20060523_49859_0100_PP.png,R
20060407_43258_0200_PP.png,L
20051202_51616_0400_PP.png,L
20060410_39229_0200_PP.png,L
IM000547.png,L
20060412_61064_0200_PP.png,R
20051021_59136_0100_PP.png,R
20060530_53062_0100_PP.png,L
20060407_39402_0200_PP.png,R
IM001666.png,R
20051130_59374_0400_PP.png,R
IM001007.png,L
20051202_56012_0400_PP.png,L
20051201_37382_0400_PP.png,R
20060407_40624_0200_PP.png,L
IM003520.png,L
20060412_59259_0200_PP.png,L
IM003772.png,L
20060410_39203_0200_PP.png,R
20060530_53455_0100_PP.png,L
20060529_56338_0100_PP.png,L
IM000480.png,L
IM001423.png,L
20060523_48182_0100_PP.png,R
IM002482.png,L
20051216_45375_0200_PP.png,L
IM001088.png,R
20060412_58869_0200_PP.png,R
20060411_58051_0200_PP.png,R
20060411_62250_0200_PP.png,L
IM002853.png,L
20060523_48102_0100_PP.png,L
20051213_61892_0100_PP.png,R
20060412_61790_0200_PP.png,R
20051021_51476_0100_PP.png,L
IM000675.png,L
IM000812.png,R
20051130_58888_0400_PP.png,L
IM003841.png,R
20060410_47166_0200_PP.png,R
IM003324.png,L
IM002938.png,R
20051212_36640_0400_PP.png,R
IM001688.png,L
20051214_56565_0100_PP.png,L
20060410_47351_0200_PP.png,L
IM004226.png,L
20051020_43882_0100_PP.png,R
IM000197.png,R
IM002973.png,L
20060412_58387_0200_PP.png,L
20051202_55562_0400_PP.png,R
IM003175.png,L
IM000776.png,R
20051130_54498_0400_PP.png,L
20060412_61593_0200_PP.png,R
20051214_51342_0100_PP.png,L
20051116_58864_0400_PP.png,L
20051020_57566_0100_PP.png,R
IM004553.png,R
20051207_62275_0400_PP.png,R
20051214_40849_0100_PP.png,R
IM003214.png,R
IM004092.png,R
20060529_56039_0100_PP.png,L
20060530_54030_0100_PP.png,L
IM000241.png,R
20060530_36895_0100_PP.png,L
IM003265.png,L
20051205_58409_0400_PP.png,R
20060529_56853_0100_PP.png,L
IM004085.png,L
IM000689.png,L
